tanggal,waktu,prediksi_model_C,referensi_google_C,selisih_model_minus_google
2026-05-26,00:00,21.2,20.0,1.1999999999999993
2026-05-26,03:00,19.9,19.0,0.8999999999999986
2026-05-26,06:00,19.8,20.0,-0.1999999999999993
2026-05-26,09:00,25.4,26.0,-0.6000000000000014
2026-05-26,12:00,27.5,28.0,-0.5
2026-05-26,15:00,26.0,27.0,-1.0
2026-05-26,18:00,23.8,22.0,1.8000000000000007
2026-05-26,21:00,22.2,22.0,0.1999999999999993
2026-05-27,00:00,21.1,21.0,0.10000000000000142
2026-05-27,03:00,20.0,19.0,1.0
2026-05-27,06:00,20.0,19.0,1.0
2026-05-27,09:00,25.5,24.0,1.5
2026-05-27,12:00,27.5,,
2026-05-27,15:00,26.3,,
2026-05-27,18:00,23.9,,
2026-05-27,21:00,22.3,,
2026-05-28,00:00,21.2,,
2026-05-28,03:00,20.0,,
2026-05-28,06:00,19.7,,
2026-05-28,09:00,25.3,,
2026-05-28,12:00,27.5,,
2026-05-28,15:00,26.4,,
2026-05-28,18:00,24.0,,
2026-05-28,21:00,22.3,,
2026-05-29,00:00,21.2,,
2026-05-29,03:00,20.3,,
2026-05-29,06:00,20.0,,
2026-05-29,09:00,25.3,,
2026-05-29,12:00,27.5,,
2026-05-29,15:00,26.2,,
2026-05-29,18:00,23.8,,
2026-05-29,21:00,22.2,,
2026-05-30,00:00,21.4,,
2026-05-30,03:00,20.2,,
2026-05-30,06:00,19.8,,
2026-05-30,09:00,25.4,,
2026-05-30,12:00,27.5,,
2026-05-30,15:00,26.0,,
2026-05-30,18:00,24.0,,
2026-05-30,21:00,22.3,,
