suhu,cuaca,kelembapan,ph
22.05,1,0.43,6.55
20.93,1,0.426,6.66
22.96,1,0.423,6.54
23.19,1,0.39,6.42
24.16,1,0.365,6.16
22.58,0,0.35,6.02
22.77,0,0.35,6.07
24.01,0,0.355,6.01
22.72,0,0.35,6.0
24.37,0,0.35,6.0
24.39,0,0.35,6.0
22.62,0,0.378,6.0
23.01,0,0.413,6.0
24.31,0,0.375,6.0
23.2,2,0.381,6.0
22.78,2,0.403,6.07
22.42,2,0.453,6.48
21.76,2,0.445,6.61
21.14,2,0.471,6.6
20.42,1,0.4,6.36
20.56,1,0.374,6.39
20.65,1,0.35,6.22
20.42,1,0.354,6.18
20.0,1,0.402,6.14
21.03,1,0.35,6.01
21.51,1,0.395,6.25
22.68,1,0.384,6.12
23.86,1,0.403,6.13
24.45,1,0.444,6.13
23.05,2,0.405,6.13
24.26,2,0.398,6.16
23.01,2,0.358,6.14
23.71,2,0.402,6.23
23.42,2,0.421,6.28
22.01,2,0.437,6.09
22.83,0,0.409,6.02
22.36,1,0.382,6.06
21.21,1,0.35,6.11
20.0,1,0.375,6.0
20.0,1,0.379,6.0
20.28,1,0.381,6.1
20.08,1,0.364,6.05
20.04,1,0.363,6.02
20.19,2,0.35,6.0
21.19,2,0.35,6.0
21.54,2,0.35,6.2
21.9,0,0.35,6.0
21.98,0,0.35,6.1
20.31,0,0.35,6.23
20.0,0,0.391,6.12
20.0,0,0.405,6.0
20.0,0,0.391,6.2
20.0,2,0.379,6.0
20.97,2,0.446,6.0
21.82,2,0.437,6.0
22.24,2,0.442,6.03
22.33,2,0.437,6.0
21.24,2,0.44,6.0
20.67,0,0.418,6.0
20.0,1,0.417,6.0
20.74,2,0.436,6.1
22.36,2,0.392,6.11
21.58,2,0.376,6.0
21.08,2,0.381,6.0
21.12,2,0.374,6.16
20.0,1,0.369,6.05
20.0,1,0.35,6.08
20.0,1,0.377,6.0
20.48,0,0.367,6.0
21.49,0,0.41,6.0
21.8,1,0.44,6.0
22.49,1,0.398,6.0
23.8,1,0.41,6.07
22.28,1,0.38,6.06
22.59,1,0.35,6.0
21.2,1,0.391,6.0
21.14,1,0.415,6.09
21.52,1,0.372,6.02
21.24,1,0.353,6.03
20.03,1,0.35,6.14
20.73,0,0.35,6.23
21.18,0,0.35,6.18
20.0,0,0.413,6.18
20.05,0,0.381,6.53
20.0,0,0.425,6.57
20.0,0,0.425,6.71
20.0,0,0.42,6.79
20.0,0,0.434,6.86
20.0,0,0.475,6.85
20.0,0,0.487,7.0
20.0,0,0.506,6.98
20.55,0,0.488,7.0
21.35,1,0.47,6.74
21.28,1,0.455,6.73
22.07,1,0.42,6.56
23.25,2,0.412,6.56
23.68,2,0.412,6.39
22.97,2,0.405,6.18
23.57,2,0.437,6.36
23.06,2,0.463,6.18
22.2,2,0.422,6.0
21.54,0,0.387,6.0
20.07,0,0.404,6.17
20.79,0,0.407,6.3
20.57,0,0.424,6.07
22.07,0,0.41,6.0
22.23,0,0.405,6.0
23.25,0,0.397,6.08
23.64,0,0.456,6.13
24.3,0,0.405,6.31
23.88,0,0.382,6.47
24.74,0,0.413,6.51
25.87,0,0.387,6.33
26.88,0,0.399,6.5
25.23,0,0.361,6.38
26.0,0,0.358,6.11
24.41,0,0.436,6.01
24.69,0,0.519,6.0
24.13,0,0.529,6.0
24.42,0,0.542,6.06
24.63,0,0.518,6.09
24.13,0,0.501,6.1
23.84,0,0.518,6.19
24.07,0,0.523,6.36
25.32,0,0.562,6.45
25.37,1,0.491,6.63
25.29,1,0.518,6.92
26.09,1,0.569,6.72
27.08,1,0.575,6.63
28.0,0,0.574,6.76
28.0,1,0.562,6.72
27.78,0,0.609,6.75
27.7,0,0.605,6.44
28.0,1,0.578,6.4
28.0,1,0.538,6.41
28.0,1,0.532,6.64
27.92,1,0.565,6.68
28.0,1,0.591,6.54
28.0,1,0.529,6.56
27.59,0,0.523,6.63
26.76,0,0.51,6.48
25.72,0,0.481,6.22
26.85,0,0.48,6.0
28.0,1,0.473,6.0
28.0,0,0.468,6.0
27.08,1,0.445,6.0
28.0,0,0.449,6.0
26.93,2,0.363,6.0
